odin-dashboard  | 2026-07-20T12:07:25.033146949Z INFO:     Started server process [1]
odin            | 2026-07-20T12:07:45.076081862Z 2026-07-20 12:07:45,075 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.0100 @ 64780.60000
odin            | 2026-07-20T12:07:45.076958614Z 2026-07-20 12:07:45,076 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.0100 @ 64780.60000
odin            | 2026-07-20T12:07:45.078169155Z 2026-07-20 12:07:45,078 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.0100 @ 64780.60000
odin            | 2026-07-20T12:07:45.079959500Z 2026-07-20 12:07:45,079 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.0100 @ 64780.60000
odin            | 2026-07-20T12:07:45.080758398Z 2026-07-20 12:07:45,080 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.0100 @ 64780.60000
odin            | 2026-07-20T12:07:45.081985603Z 2026-07-20 12:07:45,081 INFO gungnir.execution.broker: [PAPER] opened buy BTCUSD vol=0.1100 @ 64780.60000
odin            | 2026-07-20T12:07:46.905966685Z 2026-07-20 12:07:46,905 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.907080118Z 2026-07-20 12:07:46,906 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.907801193Z 2026-07-20 12:07:46,907 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.908655329Z 2026-07-20 12:07:46,908 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.909483824Z 2026-07-20 12:07:46,909 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.910205941Z 2026-07-20 12:07:46,910 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.910764573Z 2026-07-20 12:07:46,910 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.911341357Z 2026-07-20 12:07:46,911 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.911898883Z 2026-07-20 12:07:46,911 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.912646312Z 2026-07-20 12:07:46,912 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.913096640Z 2026-07-20 12:07:46,912 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.915041422Z 2026-07-20 12:07:46,913 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.915065747Z 2026-07-20 12:07:46,914 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.915641958Z 2026-07-20 12:07:46,915 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.916095564Z 2026-07-20 12:07:46,915 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.987964244Z 2026-07-20 12:07:46,986 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:46.995398741Z 2026-07-20 12:07:46,995 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.001229231Z 2026-07-20 12:07:47,000 INFO gungnir.execution.broker: [PAPER] opened sell TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.002296605Z 2026-07-20 12:07:47,001 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.002352440Z 2026-07-20 12:07:47,002 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.003355165Z 2026-07-20 12:07:47,002 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.003379392Z 2026-07-20 12:07:47,003 INFO gungnir.execution.broker: [PAPER] opened buy TSLA vol=1.0000 @ 384.64000
odin            | 2026-07-20T12:07:47.169893211Z 2026-07-20 12:07:47,169 INFO gungnir.execution.broker: [PAPER] opened sell NVDA vol=1.0000 @ 205.52500
odin            | 2026-07-20T12:07:47.170640415Z 2026-07-20 12:07:47,170 INFO gungnir.execution.broker: [PAPER] opened buy NVDA vol=1.0000 @ 205.52500
